категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 65 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 65",65,1080,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;65","Фланец стальной воротниковый Ду воротниковый, сталь Py40",65,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 80 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 80",80,1100,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;80","Фланец стальной воротниковый Ду воротниковый, сталь Py40",80,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 100 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 100",100,1490,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;100","Фланец стальной воротниковый Ду воротниковый, сталь Py40",100,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 150 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 150",150,2890,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;150","Фланец стальной воротниковый Ду воротниковый, сталь Py40",150,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 200 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 200",200,6582,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;200","Фланец стальной воротниковый Ду воротниковый, сталь Py40",200,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 15 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 15",15,115,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;15","Фланец стальной плоский Ду сталь Py10",15,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 20 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 20",20,153,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;20","Фланец стальной плоский Ду сталь Py10",20,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 25 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 25",25,170,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;25","Фланец стальной плоский Ду сталь Py10",25,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 32 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 32",32,240,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;32","Фланец стальной плоский Ду сталь Py10",32,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 40 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 40",40,290,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;40","Фланец стальной плоский Ду сталь Py10",40,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 50 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 50",50,310,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;50","Фланец стальной плоский Ду сталь Py10",50,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 65 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 65",65,440,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;65","Фланец стальной плоский Ду сталь Py10",65,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 80 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 80",80,505,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;80","Фланец стальной плоский Ду сталь Py10",80,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 100 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 100",100,689,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;100","Фланец стальной плоский Ду сталь Py10",100,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 125 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 125",125,830,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;125","Фланец стальной плоский Ду сталь Py10",125,,шт
"Качественные стали","Фланцы стальные","Фланец стальной плоский Ду сталь Py10","Фланцы стальные 150 Фланец стальной плоский Ду сталь Py10","Фланцы стальные марки Фланец стальной плоский Ду сталь Py10, размер 150",150,1075,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной плоский ду сталь py10;150","Фланец стальной плоский Ду сталь Py10",150,,шт
