категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 292 Ру40,Краны шаровые стальные 25 Кран шаровой стальной приварной 292 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 292 Ру40, размер 25",25,1350,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 292 ру40;25,Кран шаровой стальной приварной 292 Ру40,25,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 292 Ру40,Краны шаровые стальные 50 Кран шаровой стальной приварной 292 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 292 Ру40, размер 50",50,2690,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 292 ру40;50,Кран шаровой стальной приварной 292 Ру40,50,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру16,Краны шаровые стальные 65 Кран шаровой стальной фланцевый 283 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру16, размер 65",65,3765,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру16;65,Кран шаровой стальной фланцевый 283 Ру16,65,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру16,Краны шаровые стальные 80 Кран шаровой стальной фланцевый 283 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру16, размер 80",80,5500,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру16;80,Кран шаровой стальной фланцевый 283 Ру16,80,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру16,Краны шаровые стальные 150 Кран шаровой стальной фланцевый 283 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру16, размер 150",150,18650,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру16;150,Кран шаровой стальной фланцевый 283 Ру16,150,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру16,Краны шаровые стальные 200 Кран шаровой стальной фланцевый 283 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру16, размер 200",200,26000,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру16;200,Кран шаровой стальной фланцевый 283 Ру16,200,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру40,Краны шаровые стальные 15 Кран шаровой стальной фланцевый 283 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру40, размер 15",15,1512,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру40;15,Кран шаровой стальной фланцевый 283 Ру40,15,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру40,Краны шаровые стальные 20 Кран шаровой стальной фланцевый 283 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру40, размер 20",20,1728,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру40;20,Кран шаровой стальной фланцевый 283 Ру40,20,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру40,Краны шаровые стальные 25 Кран шаровой стальной фланцевый 283 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру40, размер 25",25,2114,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру40;25,Кран шаровой стальной фланцевый 283 Ру40,25,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 283 Ру40,Краны шаровые стальные 32 Кран шаровой стальной фланцевый 283 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 283 Ру40, размер 32",32,2305,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 283 ру40;32,Кран шаровой стальной фланцевый 283 Ру40,32,,шт
