категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Арматура,АРМАТУРА,кл А1 А240С,Арматура гладкая А1 А240С 10мм,"Арматура гладкая марки А1 А240С, диаметр 10мм",10,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240с;10;гладкая;глаткая,кл А1 А240С,10,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240С,Арматура гладкая А1 А240С 16мм,"Арматура гладкая марки А1 А240С, диаметр 16мм",16,48490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240с;16;гладкая;глаткая,кл А1 А240С,16,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240С 6м,Арматура гладкая А1 А240С 6м 10мм,"Арматура гладкая марки А1 А240С 6м, диаметр 10мм",10,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240с 6м;10;гладкая;глаткая,кл А1 А240С 6м,10,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 мотки А240,Арматура гладкая А1 мотки А240 8мм,"Арматура гладкая марки А1 мотки А240, диаметр 8мм",8,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 мотки а240;8;гладкая;глаткая,кл А1 мотки А240,8,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 мотки А240С,Арматура гладкая А1 мотки А240С 10мм,"Арматура гладкая марки А1 мотки А240С, диаметр 10мм",10,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 мотки а240с;10;гладкая;глаткая,кл А1 мотки А240С,10,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 мотки Ст3,Арматура гладкая А1 мотки Ст3 12мм,"Арматура гладкая марки А1 мотки Ст3, диаметр 12мм",12,50490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 мотки ст3;12;гладкая;глаткая,кл А1 мотки Ст3,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3,Арматура гладкая А1 Ст3 12мм,"Арматура гладкая марки А1 Ст3, диаметр 12мм",12,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3;12;гладкая;глаткая,кл А1 Ст3,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3,"Арматура гладкая А1 Ст3 28 , 32мм","Арматура гладкая марки А1 Ст3, диаметр 28 , 32мм",28,52490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3;28;32;гладкая;глаткая,кл А1 Ст3,28 ; 32,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3,"Арматура гладкая А1 Ст3 36 , 40мм","Арматура гладкая марки А1 Ст3, диаметр 36 , 40мм",36,53490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3;36;40;гладкая;глаткая,кл А1 Ст3,36 ; 40,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3 6м,"Арматура гладкая А1 Ст3 6м 6 , 8мм","Арматура гладкая марки А1 Ст3 6м, диаметр 6 , 8мм",6,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3 6м;6;8;гладкая;глаткая,кл А1 Ст3 6м,6 ; 8,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3 6м,Арматура гладкая А1 Ст3 6м 10мм,"Арматура гладкая марки А1 Ст3 6м, диаметр 10мм",10,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3 6м;10;гладкая;глаткая,кл А1 Ст3 6м,10,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3 6м,Арматура гладкая А1 Ст3 6м 12мм,"Арматура гладкая марки А1 Ст3 6м, диаметр 12мм",12,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3 6м;12;гладкая;глаткая,кл А1 Ст3 6м,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3 6м,Арматура гладкая А1 Ст3 6м 14мм,"Арматура гладкая марки А1 Ст3 6м, диаметр 14мм",14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 ст3 6м;14;гладкая;глаткая,кл А1 Ст3 6м,14,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А3 1000-6000 некондиция,Арматура рифленая А3 12мм 1000-6000 некондиция,"Арматура рифленая А3 12мм 1000-6000 некондиция, марка стали кл А3 1000-6000 некондиция",12,32990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 1000-6000 некондиция;12;рифленая;а3;12мм;1000-6000;некондиция,кл А3 1000-6000 некондиция,12,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 25Г2С,Арматура рифленая А3 8мм 25Г2С,"Арматура рифленая А3 8мм 25Г2С, марка стали кл А3 25Г2С",8,52990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 25г2с;8;рифленая;а3;8мм;25г2с,кл А3 25Г2С,8,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 25Г2С,Арматура рифленая А3 10мм 25Г2С,"Арматура рифленая А3 10мм 25Г2С, марка стали кл А3 25Г2С",10,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 25г2с;10;рифленая;а3;10мм;25г2с,кл А3 25Г2С,10,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 25Г2С,Арматура рифленая А3 12мм 25Г2С,"Арматура рифленая А3 12мм 25Г2С, марка стали кл А3 25Г2С",12,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 25г2с;12;рифленая;а3;12мм;25г2с,кл А3 25Г2С,12,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 25Г2С,Арматура рифленая А3 16мм 25Г2С,"Арматура рифленая А3 16мм 25Г2С, марка стали кл А3 25Г2С",16,50490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 25г2с;16;18;рифленая;а3;16мм;25г2с,кл А3 25Г2С,16 ; 18,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 25Г2С,Арматура рифленая А3 20мм 25Г2С,"Арматура рифленая А3 20мм 25Г2С, марка стали кл А3 25Г2С",20,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 25г2с;20;рифленая;а3;20мм;25г2с,кл А3 25Г2С,20,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 25Г2С,Арматура рифленая А3 22мм 25Г2С,"Арматура рифленая А3 22мм 25Г2С, марка стали кл А3 25Г2С",22,50490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а3 25г2с;22;25;28;32;рифленая;а3;22мм;25г2с,кл А3 25Г2С,22 ; 25; 28; 32,ГОСТ 5781-82,т
