категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 140 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 140",140,224455,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;140,Анкер клиновой 16,140,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 140 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 140",140,249127,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;140,Анкер клиновой 16,140,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 160 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 160",160,247607,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;160,Анкер клиновой 16,160,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 180 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 180",180,275493,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;180,Анкер клиновой 16,180,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 180 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 180",180,300325,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;180,Анкер клиновой 16,180,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 200 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 200",200,315702,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;200,Анкер клиновой 16,200,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 200 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 200",200,437694,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;200,Анкер клиновой 16,200,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 220 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 220",220,332825,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;220,Анкер клиновой 16,220,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 80 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 80",80,211556,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;80,Анкер клиновой 16,80,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 20,Анкерная техника 125 Анкер клиновой 20,"Анкерная техника марки Анкер клиновой 20, размер 125",125,341308,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 20;125,Анкер клиновой 20,125,,тыс.шт
